x,y,z
0.049983 ,  -0.025991 ,  -0.993661
0.053982 ,  -0.023992 ,  -1.015653
0.039986 ,  -0.027990 ,  -0.985663
0.029990 ,  -0.023992 ,  -1.013654
0.053982 ,  -0.045984 ,  -1.047642
0.063978 ,  -0.019993 ,  -0.991661
0.079973 ,  -0.037987 ,  -0.991661
0.065977 ,  -0.025991 ,  -0.951675
0.047984 ,  -0.017994 ,  -1.045643
0.025991 ,  -0.029990 ,  -1.041644
0.023992 ,  -0.025991 ,  -1.029648
0.055981 ,  -0.017994 ,  -1.035646
0.051982 ,  -0.013995 ,  -0.993661
0.081972 ,  -0.015995 ,  -0.993661
0.049983 ,  -0.029990 ,  -1.019652
0.061979 ,  -0.017994 ,  -0.987663
0.049983 ,  -0.023992 ,  -1.023650
0.051982 ,  -0.025991 ,  -1.043643
0.059980 ,  -0.017994 ,  -1.007656
0.093968 ,  -0.015995 ,  -0.995660
0.031989 ,  -0.007997 ,  -1.001658
0.043985 ,  -0.019993 ,  -1.005656
0.057980 ,  -0.009997 ,  -0.979665
0.045984 ,  -0.013995 ,  -1.021651
0.045984 ,  -0.023992 ,  -1.009655
0.045984 ,  -0.011996 ,  -0.989662
0.039986 ,  -0.025991 ,  -1.005656
0.033988 ,  -0.023992 ,  -0.991661
0.029990 ,  -0.021992 ,  -0.987663
0.045984 ,  -0.033988 ,  -1.021651
0.041986 ,  -0.017994 ,  -0.981665
0.025991 ,  -0.015995 ,  -1.059638
0.041986 ,  -0.033988 ,  -1.013654
0.017994 ,  -0.023992 ,  -0.997659
0.041986 ,  -0.029990 ,  -1.017652
0.035988 ,  -0.027990 ,  -1.023650
0.039986 ,  -0.019993 ,  -0.999658
0.031989 ,  -0.039986 ,  -1.021651
0.039986 ,  -0.021992 ,  -1.007656
0.031989 ,  -0.035988 ,  -1.003657
0.049983 ,  -0.031989 ,  -1.023650
0.071975 ,  -0.029990 ,  -0.985663
0.059980 ,  -0.017994 ,  -1.009655
0.053982 ,  -0.023992 ,  -1.001658
0.045984 ,  -0.011996 ,  -0.999658
0.027990 ,  -0.013995 ,  -1.029648
0.041986 ,  -0.031989 ,  -1.027649
0.039986 ,  -0.021992 ,  -0.959672
0.067977 ,  -0.023992 ,  -0.957673
0.055981 ,  -0.039986 ,  -1.065636
0.053982 ,  -0.023992 ,  -0.957673
0.043985 ,  -0.015995 ,  -0.989662
0.045984 ,  -0.019993 ,  -1.059638
0.065977 ,  -0.025991 ,  -1.007656
0.031989 ,  -0.033988 ,  -1.001658
0.065977 ,  -0.037987 ,  -1.005656
0.035988 ,  -0.025991 ,  -1.021651
0.041986 ,  -0.019993 ,  -0.941678
0.037987 ,  -0.029990 ,  -1.031647
0.057980 ,  -0.015995 ,  -1.013654
0.067977 ,  -0.027990 ,  -1.013654
0.047984 ,  -0.013995 ,  -1.011654
0.067977 ,  -0.031989 ,  -1.041644
0.063978 ,  -0.013995 ,  -1.013654
0.039986 ,  -0.021992 ,  -1.003657
0.041986 ,  -0.017994 ,  -1.011654
0.063978 ,  -0.007997 ,  -1.025650
0.059980 ,  -0.035988 ,  -1.003657
0.047984 ,  -0.035988 ,  -1.011654
0.055981 ,  -0.007997 ,  -0.973667
0.043985 ,  -0.013995 ,  -0.971668
0.031989 ,  -0.009997 ,  -0.997659
0.055981 ,  -0.013995 ,  -0.983664
0.067977 ,  -0.023992 ,  -0.991661
0.039986 ,  -0.023992 ,  -0.977666
0.045984 ,  -0.027990 ,  -1.015653
0.033988 ,  -0.023992 ,  -0.983664
0.059980 ,  -0.033988 ,  -1.019652
0.053982 ,  -0.027990 ,  -1.033647
0.067977 ,  -0.019993 ,  -1.005656
0.043985 ,  -0.037987 ,  -1.043643
0.071975 ,  -0.033988 ,  -0.989662
0.047984 ,  -0.019993 ,  -0.983664
0.037987 ,  -0.019993 ,  -1.015653
0.043985 ,  -0.031989 ,  -1.027649
0.035988 ,  -0.027990 ,  -1.011654
0.053982 ,  -0.025991 ,  -1.033647
0.061979 ,  -0.015995 ,  -0.985663
0.059980 ,  -0.007997 ,  -1.009655
0.081972 ,  -0.017994 ,  -0.989662
0.053982 ,  -0.025991 ,  -1.025650
0.037987 ,  -0.033988 ,  -1.047642
0.037987 ,  -0.027990 ,  -1.067635
0.043985 ,  -0.033988 ,  -1.059638
0.055981 ,  -0.009997 ,  -0.999658
0.063978 ,  -0.019993 ,  -0.971668
0.039986 ,  -0.037987 ,  -1.005656
0.031989 ,  -0.031989 ,  -1.029648
0.061979 ,  -0.019993 ,  -1.023650
0.041986 ,  -0.033988 ,  -0.967669
0.057980 ,  -0.017994 ,  -0.985663
0.065977 ,  -0.017994 ,  -1.023650
0.037987 ,  -0.021992 ,  -1.049641
0.039986 ,  -0.039986 ,  -1.035646
0.049983 ,  -0.025991 ,  -1.013654
0.051982 ,  -0.025991 ,  -1.019652
0.043985 ,  -0.015995 ,  -1.009655
0.055981 ,  -0.005998 ,  -0.997659
0.049983 ,  -0.011996 ,  -1.005656
0.039986 ,  -0.025991 ,  -1.047642
0.035988 ,  -0.023992 ,  -1.051641
0.041986 ,  -0.029990 ,  -1.043643
0.045984 ,  -0.015995 ,  -0.997659
0.051982 ,  -0.033988 ,  -1.031647
0.075974 ,  -0.013995 ,  -1.023650
0.039986 ,  -0.017994 ,  -1.007656
0.047984 ,  -0.035988 ,  -1.019652
0.045984 ,  -0.021992 ,  -0.983664
0.043985 ,  -0.019993 ,  -0.949676
0.061979 ,  -0.019993 ,  -1.005656
0.057980 ,  -0.007997 ,  -0.991661
0.043985 ,  -0.019993 ,  -0.999658
0.059980 ,  -0.025991 ,  -1.025650
0.065977 ,  -0.015995 ,  -0.971668
0.061979 ,  -0.027990 ,  -1.043643
0.031989 ,  -0.031989 ,  -1.017652
0.003999 ,  -0.035988 ,  -0.975667
0.061979 ,  -0.019993 ,  -0.997659
0.039986 ,  -0.019993 ,  -1.011654
0.019993 ,  -0.023992 ,  -1.007656
0.059980 ,  -0.019993 ,  -0.991661
0.037987 ,  -0.031989 ,  -0.999658
0.045984 ,  -0.017994 ,  -1.045643
0.037987 ,  -0.013995 ,  -0.989662
0.055981 ,  -0.015995 ,  -1.027649
0.045984 ,  -0.021992 ,  -1.003657
0.039986 ,  -0.039986 ,  -1.043643
0.051982 ,  -0.015995 ,  -1.019652
0.041986 ,  -0.015995 ,  -1.021651
0.051982 ,  -0.017994 ,  -0.985663
0.047984 ,  -0.033988 ,  -1.019652
0.065977 ,  -0.027990 ,  -1.045643
0.037987 ,  -0.023992 ,  -0.973667
0.043985 ,  -0.011996 ,  -1.013654
0.035988 ,  -0.015995 ,  -0.983664
0.047984 ,  -0.037987 ,  -1.055639
0.051982 ,  -0.017994 ,  -0.997659
0.033988 ,  -0.033988 ,  -1.013654
0.051982 ,  -0.033988 ,  -1.035646
0.067977 ,  -0.027990 ,  -1.011654
0.037987 ,  -0.029990 ,  -1.005656
0.035988 ,  -0.027990 ,  -1.019652
0.043985 ,  -0.043985 ,  -1.057639
0.059980 ,  -0.019993 ,  -1.005656
0.067977 ,  -0.023992 ,  -1.021651
0.045984 ,  -0.019993 ,  -0.971668
0.057980 ,  -0.033988 ,  -1.005656
0.031989 ,  -0.013995 ,  -1.011654
0.067977 ,  -0.011996 ,  -0.997659
0.043985 ,  -0.025991 ,  -1.049641
0.047984 ,  -0.025991 ,  -1.043643
0.013995 ,  -0.017994 ,  -1.023650
0.037987 ,  -0.011996 ,  -0.989662
0.035988 ,  -0.017994 ,  -1.003657
0.031989 ,  -0.025991 ,  -1.019652
0.087970 ,  -0.017994 ,  -1.023650
0.055981 ,  -0.023992 ,  -1.061637
0.061979 ,  -0.033988 ,  -0.981665
0.045984 ,  -0.015995 ,  -1.003657
0.037987 ,  -0.027990 ,  -1.003657
0.043985 ,  -0.023992 ,  -0.969669
0.049983 ,  -0.019993 ,  -0.997659
0.051982 ,  -0.041986 ,  -1.047642
0.047984 ,  -0.027990 ,  -1.041644
0.045984 ,  -0.043985 ,  -1.051641
0.047984 ,  -0.017994 ,  -1.007656
0.027990 ,  -0.017994 ,  -0.985663
0.075974 ,  -0.003999 ,  -1.007656
0.047984 ,  -0.023992 ,  -0.989662
0.053982 ,  -0.021992 ,  -1.045643
0.047984 ,  -0.023992 ,  -0.999658
0.063978 ,  -0.023992 ,  -1.061637
0.047984 ,  -0.025991 ,  -1.023650
0.045984 ,  -0.023992 ,  -1.001658
0.069976 ,  -0.019993 ,  -1.013654
0.027990 ,  -0.023992 ,  -0.993661
0.053982 ,  -0.021992 ,  -1.005656
0.057980 ,  -0.015995 ,  -1.019652
0.035988 ,  -0.031989 ,  -1.015653
0.063978 ,  -0.029990 ,  -1.017652
0.039986 ,  -0.029990 ,  -1.005656
0.041986 ,  -0.037987 ,  -1.023650
0.063978 ,  -0.035988 ,  -1.025650
0.039986 ,  -0.041986 ,  -0.977666
0.067977 ,  -0.023992 ,  -1.029648
0.057980 ,  -0.017994 ,  -1.027649
0.061979 ,  -0.033988 ,  -1.037646
0.059980 ,  -0.029990 ,  -1.007656
0.035988 ,  -0.023992 ,  -0.971668
0.065977 ,  -0.017994 ,  -1.003657
0.059980 ,  -0.023992 ,  -1.005656
0.063978 ,  -0.019993 ,  -0.987663
0.061979 ,  -0.031989 ,  -0.997659
0.051982 ,  -0.019993 ,  -1.005656
0.039986 ,  -0.019993 ,  -1.015653
0.031989 ,  -0.019993 ,  -1.003657
0.049983 ,  -0.031989 ,  -0.983664
0.055981 ,  -0.025991 ,  -1.027649
0.041986 ,  -0.025991 ,  -1.025650
0.033988 ,  -0.023992 ,  -1.037646
0.043985 ,  -0.013995 ,  -0.955673
0.049983 ,  -0.019993 ,  -0.991661
0.009997 ,  -0.027990 ,  -1.029648
0.061979 ,  -0.025991 ,  -0.991661
0.055981 ,  -0.011996 ,  -1.021651
0.013995 ,  -0.019993 ,  -0.997659
0.055981 ,  -0.033988 ,  -1.023650
0.059980 ,  -0.019993 ,  -1.023650
0.033988 ,  -0.033988 ,  -1.039645
0.033988 ,  -0.035988 ,  -1.001658
0.041986 ,  -0.025991 ,  -1.011654
0.037987 ,  -0.039986 ,  -1.041644
0.057980 ,  -0.013995 ,  -1.007656
0.067977 ,  -0.037987 ,  -1.009655
0.069976 ,  -0.027990 ,  -1.005656
0.067977 ,  -0.019993 ,  -1.021651
0.041986 ,  -0.019993 ,  -0.993661
0.035988 ,  -0.037987 ,  -1.019652
0.057980 ,  -0.025991 ,  -1.019652
0.053982 ,  -0.025991 ,  -0.997659
0.033988 ,  -0.029990 ,  -1.021651
0.019993 ,  -0.023992 ,  -1.029648
0.059980 ,  -0.021992 ,  -1.023650
0.049983 ,  -0.015995 ,  -1.001658
0.051982 ,  -0.035988 ,  -1.035646
0.043985 ,  -0.033988 ,  -1.007656
0.055981 ,  -0.021992 ,  -1.003657
0.043985 ,  -0.025991 ,  -0.945677
0.035988 ,  -0.021992 ,  -0.993661
0.029990 ,  -0.027990 ,  -0.985663
0.077973 ,  -0.025991 ,  -1.019652
0.043985 ,  -0.013995 ,  -0.993661
0.039986 ,  -0.043985 ,  -1.027649
0.039986 ,  -0.039986 ,  -1.043643
0.047984 ,  -0.025991 ,  -0.973667
0.043985 ,  -0.041986 ,  -1.043643
0.039986 ,  -0.023992 ,  -0.961671
0.053982 ,  -0.015995 ,  -1.007656
0.069976 ,  -0.033988 ,  -1.025650
0.025991 ,  -0.037987 ,  -1.027649
0.083971 ,  -0.025991 ,  -0.999658
0.069976 ,  -0.017994 ,  -0.999658
0.047984 ,  -0.015995 ,  -0.997659
0.051982 ,  -0.013995 ,  -1.009655
0.031989 ,  -0.033988 ,  -1.009655
0.059980 ,  -0.027990 ,  -1.023650
0.019993 ,  -0.027990 ,  -0.977666
0.059980 ,  -0.023992 ,  -0.951675
0.043985 ,  -0.033988 ,  -1.011654
0.051982 ,  -0.039986 ,  -1.011654
0.049983 ,  -0.029990 ,  -0.955673
0.059980 ,  -0.025991 ,  -1.027649
0.023992 ,  -0.031989 ,  -1.025650
0.045984 ,  -0.025991 ,  -1.011654
0.039986 ,  -0.023992 ,  -1.001658
0.075974 ,  -0.017994 ,  -0.995660
0.049983 ,  -0.027990 ,  -1.069635
0.033988 ,  -0.045984 ,  -1.029648
0.029990 ,  -0.021992 ,  -0.987663
0.039986 ,  -0.033988 ,  -1.013654
0.065977 ,  -0.015995 ,  -0.951675
0.077973 ,  -0.023992 ,  -1.027649
0.053982 ,  -0.019993 ,  -0.979665
0.043985 ,  -0.023992 ,  -1.015653
0.031989 ,  -0.027990 ,  -1.023650
0.043985 ,  -0.045984 ,  -1.031647
0.045984 ,  -0.015995 ,  -0.985663
0.055981 ,  -0.031989 ,  -1.019652
0.039986 ,  -0.027990 ,  -0.945677
0.055981 ,  -0.023992 ,  -0.999658
0.059980 ,  -0.021992 ,  -1.021651
0.051982 ,  -0.019993 ,  -1.011654
0.043985 ,  -0.019993 ,  -1.081631
0.041986 ,  -0.023992 ,  -1.011654
0.043985 ,  -0.013995 ,  -0.969669
0.045984 ,  -0.037987 ,  -1.023650
0.049983 ,  -0.041986 ,  -1.067635
0.047984 ,  -0.029990 ,  -1.023650
0.049983 ,  -0.027990 ,  -1.019652
0.041986 ,  -0.031989 ,  -1.031647
0.035988 ,  -0.047984 ,  -1.019652
0.049983 ,  -0.023992 ,  -1.013654
0.027990 ,  -0.013995 ,  -0.975667
0.051982 ,  -0.015995 ,  -0.955673
0.043985 ,  -0.039986 ,  -1.039645
0.053982 ,  -0.013995 ,  -1.045643
0.057980 ,  -0.037987 ,  -1.013654
0.015995 ,  -0.041986 ,  -0.993661
0.043985 ,  -0.041986 ,  -1.005656
0.041986 ,  -0.019993 ,  -0.977666
0.061979 ,  -0.023992 ,  -1.037646
0.037987 ,  -0.037987 ,  -0.993661
0.041986 ,  -0.023992 ,  -1.019652
0.035988 ,  -0.037987 ,  -1.031647
0.047984 ,  -0.015995 ,  -1.011654
0.023992 ,  -0.017994 ,  -0.991661
0.075974 ,  -0.013995 ,  -0.985663
0.039986 ,  -0.021992 ,  -1.001658
0.039986 ,  -0.033988 ,  -1.033647
0.043985 ,  -0.043985 ,  -0.995660
0.053982 ,  -0.017994 ,  -0.979665
0.045984 ,  -0.033988 ,  -1.005656
0.039986 ,  -0.017994 ,  -0.999658
0.061979 ,  -0.025991 ,  -0.965670
0.025991 ,  -0.019993 ,  -0.995660
0.043985 ,  -0.021992 ,  -1.005656
0.031989 ,  -0.015995 ,  -0.989662
0.051982 ,  -0.031989 ,  -1.055639
0.057980 ,  -0.025991 ,  -0.983664
0.055981 ,  -0.025991 ,  -0.945677
0.041986 ,  -0.025991 ,  -0.999658
0.067977 ,  -0.021992 ,  -0.995660
0.093968 ,  -0.019993 ,  -1.027649
0.049983 ,  -0.009997 ,  -0.995660
0.061979 ,  -0.021992 ,  -1.015653
0.011996 ,  -0.021992 ,  -1.013654
0.073975 ,  -0.027990 ,  -1.023650
0.033988 ,  -0.019993 ,  -0.983664
0.055981 ,  -0.031989 ,  -0.997659
0.051982 ,  -0.019993 ,  -0.967669
0.029990 ,  -0.027990 ,  -1.019652
0.057980 ,  -0.025991 ,  -1.027649
0.033988 ,  -0.023992 ,  -1.029648
0.059980 ,  -0.031989 ,  -1.055639
0.057980 ,  -0.011996 ,  -0.989662
0.063978 ,  -0.029990 ,  -0.971668
0.053982 ,  -0.023992 ,  -1.009655
0.043985 ,  -0.019993 ,  -1.011654
0.051982 ,  -0.035988 ,  -1.003657
0.075974 ,  -0.025991 ,  -1.045643
0.053982 ,  -0.031989 ,  -1.025650
0.041986 ,  -0.011996 ,  -0.961671
0.039986 ,  -0.019993 ,  -0.995660
0.077973 ,  -0.033988 ,  -0.997659
0.075974 ,  -0.009997 ,  -1.013654
0.045984 ,  -0.025991 ,  -1.021651
0.065977 ,  -0.025991 ,  -1.047642
0.045984 ,  -0.015995 ,  -0.981665
0.061979 ,  -0.031989 ,  -1.065636
0.039986 ,  -0.033988 ,  -1.023650
0.053982 ,  -0.019993 ,  -0.977666
0.081972 ,  -0.021992 ,  -1.001658
0.053982 ,  -0.019993 ,  -1.021651
0.057980 ,  -0.035988 ,  -1.059638
0.047984 ,  -0.039986 ,  -1.051641
0.057980 ,  -0.037987 ,  -1.025650
0.053982 ,  -0.027990 ,  -1.051641
0.059980 ,  -0.043985 ,  -1.039645
0.065977 ,  -0.023992 ,  -1.049641
0.049983 ,  -0.019993 ,  -0.989662
0.039986 ,  -0.019993 ,  -1.015653
0.041986 ,  -0.027990 ,  -1.019652
0.065977 ,  -0.027990 ,  -1.037646
0.055981 ,  -0.003999 ,  -1.015653
0.047984 ,  -0.025991 ,  -1.057639
0.049983 ,  -0.029990 ,  -1.019652
0.041986 ,  -0.009997 ,  -0.995660
0.047984 ,  -0.017994 ,  -1.023650
0.031989 ,  -0.009997 ,  -1.005656
0.051982 ,  -0.023992 ,  -0.991661
0.065977 ,  -0.025991 ,  -0.955673
0.045984 ,  -0.017994 ,  -1.021651
0.049983 ,  -0.041986 ,  -1.041644
0.025991 ,  -0.025991 ,  -1.029648
0.047984 ,  -0.027990 ,  -1.029648
0.049983 ,  -0.017994 ,  -1.005656
0.059980 ,  -0.027990 ,  -0.963671
0.051982 ,  -0.035988 ,  -1.005656
0.065977 ,  -0.025991 ,  -1.051641
0.049983 ,  -0.017994 ,  -1.001658
0.049983 ,  -0.015995 ,  -1.013654
0.065977 ,  -0.023992 ,  -1.035646
0.069976 ,  -0.019993 ,  -1.009655
0.041986 ,  -0.015995 ,  -1.011654
0.041986 ,  -0.031989 ,  -1.009655
0.073975 ,  -0.021992 ,  -0.985663
0.061979 ,  -0.019993 ,  -1.041644
0.063978 ,  -0.025991 ,  -1.013654
0.079973 ,  -0.015995 ,  -0.975667
0.039986 ,  -0.011996 ,  -0.991661
0.039986 ,  -0.013995 ,  -1.003657
0.067977 ,  -0.021992 ,  -0.983664
0.037987 ,  -0.025991 ,  -1.043643
0.039986 ,  -0.027990 ,  -1.015653
0.043985 ,  -0.025991 ,  -0.997659
0.059980 ,  -0.011996 ,  -1.003657
0.051982 ,  -0.035988 ,  -1.039645
0.063978 ,  -0.025991 ,  -1.009655
0.017994 ,  -0.035988 ,  -1.023650
0.047984 ,  -0.025991 ,  -1.059638
0.031989 ,  -0.019993 ,  -0.981665
0.063978 ,  -0.023992 ,  -0.999658
0.057980 ,  -0.033988 ,  -1.059638
0.055981 ,  -0.031989 ,  -1.039645
0.047984 ,  -0.043985 ,  -1.013654
0.055981 ,  -0.027990 ,  -1.015653
0.043985 ,  -0.009997 ,  -1.007656
0.007997 ,  -0.025991 ,  -1.005656
0.061979 ,  -0.023992 ,  -0.993661
0.061979 ,  -0.023992 ,  -1.059638
0.063978 ,  -0.029990 ,  -0.989662
0.073975 ,  -0.019993 ,  -0.965670
0.055981 ,  -0.027990 ,  -1.003657
0.027990 ,  -0.027990 ,  -1.001658
0.047984 ,  -0.035988 ,  -1.061637
0.061979 ,  -0.035988 ,  -1.007656
0.033988 ,  -0.031989 ,  -1.041644
0.045984 ,  -0.029990 ,  -1.033647
0.053982 ,  -0.043985 ,  -1.047642
0.057980 ,  -0.015995 ,  -0.977666
0.065977 ,  -0.021992 ,  -0.977666
0.053982 ,  -0.021992 ,  -1.011654
0.053982 ,  -0.027990 ,  -1.015653
0.051982 ,  -0.035988 ,  -1.041644
0.047984 ,  -0.025991 ,  -1.053640
0.055981 ,  -0.023992 ,  -0.983664
0.051982 ,  -0.019993 ,  -1.001658
0.043985 ,  -0.023992 ,  -1.011654
0.053982 ,  -0.027990 ,  -1.043643
0.049983 ,  -0.011996 ,  -1.001658
0.045984 ,  -0.013995 ,  -1.021651
0.067977 ,  -0.021992 ,  -1.001658
0.057980 ,  -0.023992 ,  -1.027649
0.075974 ,  -0.019993 ,  -0.987663
0.051982 ,  -0.017994 ,  -1.001658
0.027990 ,  -0.023992 ,  -1.003657
0.083971 ,  -0.013995 ,  -1.011654
0.053982 ,  -0.019993 ,  -1.043643
0.023992 ,  -0.035988 ,  -1.035646
0.039986 ,  -0.039986 ,  -1.017652
0.047984 ,  -0.009997 ,  -0.989662
0.057980 ,  -0.027990 ,  -1.015653
0.075974 ,  -0.019993 ,  -1.009655
0.025991 ,  -0.025991 ,  -1.067635
0.035988 ,  -0.009997 ,  -0.959672
0.073975 ,  -0.005998 ,  -0.981665
0.057980 ,  -0.037987 ,  -1.049641
